4038	https://www.spreadthesign.com/us/4038/	deaf	4038
125250	https://www.spreadthesign.com/us/125250/	boy	125250
4103	https://www.spreadthesign.com/us/4103/	girl	4103
5040	https://www.spreadthesign.com/us/5040/	weather	5040
6153	https://www.spreadthesign.com/us/6153/	How are you?	6153
17655	https://www.spreadthesign.com/us/17655/	Hi!	17655
26499	https://www.spreadthesign.com/us/26499/	Merry Christmas!	26499
26513	https://www.spreadthesign.com/us/26513/	Happy New Year!	26513
118174	https://www.spreadthesign.com/us/118174/	absurd	118174
118180	https://www.spreadthesign.com/us/118180/	accessibility	118180
118365	https://www.spreadthesign.com/us/118365/	again	118365
118323	https://www.spreadthesign.com/us/118323/	active	118323
118330	https://www.spreadthesign.com/us/118330/	actual	118330
399290	https://www.spreadthesign.com/us/399290/	address	399293
118339	https://www.spreadthesign.com/us/118339/	adjective	118339
118352	https://www.spreadthesign.com/us/118352/	adverb	118352
118356	https://www.spreadthesign.com/us/118356/	advice	118356
118361	https://www.spreadthesign.com/us/118361/	afraid	118361
118363	https://www.spreadthesign.com/us/118363/	afternoon	118363
118366	https://www.spreadthesign.com/us/118366/	against	118366
118367	https://www.spreadthesign.com/us/118367/	age	118367
118370	https://www.spreadthesign.com/us/118370/	agree	118370
118375	https://www.spreadthesign.com/us/118375/	AIDS	118375
118411	https://www.spreadthesign.com/us/118411/	allow	118411
118417	https://www.spreadthesign.com/us/118417/	alone	118417
118426	https://www.spreadthesign.com/us/118426/	always	118426
399291	https://www.spreadthesign.com/us/399291/	anecdote	399294
118504	https://www.spreadthesign.com/us/118504/	angel	118504
118508	https://www.spreadthesign.com/us/118508/	angry	118508
118511	https://www.spreadthesign.com/us/118511/	animal	118511
118515	https://www.spreadthesign.com/us/118515/	anniversary	118515
118518	https://www.spreadthesign.com/us/118518/	annual	118518
118523	https://www.spreadthesign.com/us/118523/	another	118523
122505	https://www.spreadthesign.com/us/122505/	anxious	122505
122521	https://www.spreadthesign.com/us/122521/	appropriate	122521
122525	https://www.spreadthesign.com/us/122525/	April	122525
122583	https://www.spreadthesign.com/us/122583/	ask	122583
399292	https://www.spreadthesign.com/us/399292/	association	399295
122835	https://www.spreadthesign.com/us/122835/	attractive	122835
122844	https://www.spreadthesign.com/us/122844/	August	122844
122845	https://www.spreadthesign.com/us/122845/	aunt	122845
122846	https://www.spreadthesign.com/us/122846/	Australia	122846
122854	https://www.spreadthesign.com/us/122854/	automatic	122854
122858	https://www.spreadthesign.com/us/122858/	autumn	122858
123110	https://www.spreadthesign.com/us/123110/	awkward	123110
123115	https://www.spreadthesign.com/us/123115/	baby	123115
123148	https://www.spreadthesign.com/us/123148/	bad	123148
123164	https://www.spreadthesign.com/us/123164/	behavior	123164
123213	https://www.spreadthesign.com/us/123213/	ball	123213
